Team,Division,Team Name,Organization,City,State,Country
21417A,Arts,ROBOKAUZ,ROBOKAUZ,Indianapolis,Indiana,United States
22020X,Innovate,Tech Chaos,Kidwe Lab,Auckland,,New Zealand
22023A,Spirit,Bulldog Bytes Robotics Green,SPRINGFIELD HIGH SCHOOL,Springfield,Louisiana,United States
22204G,Design,Wylie Goldfish,WYLIE HIGH SCHOOL,Wylie,Texas,United States
22204V,Research,Wylie Vanguard,WYLIE HIGH SCHOOL,Wylie,Texas,United States
22736A,Opportunity,ASD Tech Tigers,AMERICAN SCHOOL FOR THE DEAF,West Hartford,Connecticut,United States
22911M,Math,Maker Must,MBA Okullari Schools,İstanbul,,Türkiye
23203B,Technology,Silent Reaper,MN ACADEMY FOR THE DEAF,Faribault,Minnesota,United States
23418A,Science,RedBisons,RedBisons,"Chofu, Tokyo",,Japan
23880B,Engineering,Delta Force,LYONS TWP HIGH SCH,LaGrange,Illinois,United States
24118E,Arts,Broken Zip Ties,ALBERT LEA SENIOR HIGH,ALBERT LEA,Minnesota,United States
24626Z,Innovate,CRHS Polaris,Cinco Ranch High School,KATY,Texas,United States
24816C,Spirit,Ctrl-C,Happy Valley High School,Elizabethton,Tennessee,United States
25146D,Design,Nice N' Crispy,Clear Lake High School,Clear Lake,Iowa,United States
25455Y,Research,Airor 4-OH-4,Cranberry Area Jshs,Seneca,Pennsylvania,United States
25575B,Opportunity,"Bot, Paper, Scissors",The American International School of Muscat,Muscat,,Oman
25600H,Math,Latin H,The Roxbury Latin School,West Roxbury,Massachusetts,United States
25600X,Technology,Jerome,The Roxbury Latin School,West Roxbury,Massachusetts,United States
25600Y,Science,Goomba,The Roxbury Latin School,West Roxbury,Massachusetts,United States
26164A,Engineering,You Spin Me Right 'Round,Ravenswood High School,RAVENSWOOD,West Virginia,United States
27905C,Arts,Muskrats,MARSHFIELD HIGH,Marshfield,Wisconsin,United States
29039A,Innovate,苏州市青少1队,苏州工业园区青少年活动中心,苏州,Jiangsu,China
29143A,Spirit,Steamclub,Mosa-RT,Maaseik,,Belgium
29760E,Design,Treee,Shasta Charter Academy,Redding,California,United States
30204A,Research,Gibbons Gearheads,Cardinal Gibbons High School,FORT LAUDERDALE,Florida,United States
30809S,Opportunity,Maximum Output,30809S Robotics,Timnath,Colorado,United States
32092E,Math,Brawling Bananas,Stargate Charter School,Thornton,Colorado,United States
32174C,Technology,Trae Young,Conway Area Career Center,CONWAY,Arkansas,United States
32792B,Science,COGNEX,Winter Park High School,WINTER PARK,Florida,United States
33011Z,Engineering,CriticalError-RedRingOfDeath,Critical Error Robotics,Morrisville,North Carolina,United States
33112C,Arts,"Robo Rangers - Conrad """"Sarge E. Poo""""",CONCORDIA LUTHERAN HIGH SCHOOL,Ft Wayne,Indiana,United States
33344C,Innovate,Whitewater Robotics C,Whitewater High School,Fayetteville,Georgia,United States
33418X,Spirit,The Benjineers,THE BENJAMIN SCHOOL,PALM BEACH GARDENS,Florida,United States
33472B,Design,FalconBotics,Alchesay High School,Whiteriver,Arizona,United States
34001A,Research,IORobot,İbrahim Özaydın Mesleki ve Teknik Anadolu Lisesi,İstanbul,,Türkiye
34107K,Opportunity,Team Qué,St. Joseph Catholic High School,Huntington,West Virginia,United States
34532A,Math,Dragon Robotics,PINECREST GLADES PREPARATORY ACADEMY MIDDLE HIGH SCHOOL,Miami,Florida,United States
34532B,Technology,Dragon Robotics,PINECREST GLADES PREPARATORY ACADEMY MIDDLE HIGH SCHOOL,Miami,Florida,United States
35993A,Science,The Rockys 1,IGS Rockenhausen,Rockenhausen,Rheinland-Pfalz,Germany
36010E,Engineering,MCSHS 3,QSITE FNQ Mountain Creek SHS,Manunda,,Australia
36620E,Arts,Foam Flingers,UNITY CHRISTIAN HIGH SCHOOL,HUDSONVILLE,Michigan,United States
36708F,Innovate,Maker Must,Independent Team,İstanbul,,Türkiye
36817B,Spirit,TASIS Tigers 2,The American School In Switzerland (TASIS),Montagnola,Tessin,Switzerland
36830C,Design,Duck,AUBURN HIGH SCHOOL,Auburn,Alabama,United States
36905X,Research,Cyber Nuts Robotics,Cyber Nuts Robotics,Kansas City,Missouri,United States
37334A,Opportunity,Lincoln County Robotics - 37334A,LINCOLN COUNTY HIGH SCHOOL,Fayetteville,Tennessee,United States
37568A,Math,IESTPREPA,INSTITUTO DE ESTUDIOS SUPERIORES DE TAMAULIPAS,Altamira,Tamaulipas,Mexico
38053A,Technology,Last Minute Fix,OAKLAND CHRISTIAN SCHOOL,Auburn Hills,Michigan,United States
38053D,Science,Just Bend It!,OAKLAND CHRISTIAN SCHOOL,Auburn Hills,Michigan,United States
38141B,Engineering,PiBotics B,Ignite Institute,Erlanger,Kentucky,United States
39599A,Arts,WHS Warriors,WINTERS HIGH,Winters,California,United States
39702C,Innovate,New Hope Robotics,NEW HOPE,Columbus,Mississippi,United States
39792A,Spirit,Alpha Aviators,ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL,Miami Springs,Florida,United States
40684C,Design,Delta Males,NAPOLEON HIGH SCHOOL,Napoleon,Michigan,United States
41076A,Research,Camel Bots,CAMPBELL COUNTY HIGH SCHOOL,Alexandria,Kentucky,United States
41103A,Opportunity,Next Gen,Pedare Christian College,Golden Grove,,Australia
41870A,Math,Red Bull,MOUNT VERNON HIGH SCHOOL,Mt Vernon,Illinois,United States
41870B,Technology,The Shaq's,MOUNT VERNON HIGH SCHOOL,Mt Vernon,Illinois,United States
41998B,Science,Everything Hertz,VALE HIGH SCHOOL,Vale,Oregon,United States
41998X,Engineering,Goldfish don't bounce,Vale High School,Vale,Oregon,United States
42700E,Arts,Echelon,42700,Honolulu,Hawaii,United States
42700X,Innovate,X-Factor,42700,Honolulu,Hawaii,United States
43983A,Spirit,SCHS O.N.E.,SOUTH CHARLESTON HIGH SCHOOL,South Charleston,West Virginia,United States
44244M,Design,Modulo,Mukilteo Robotics,Mukilteo,Washington,United States
44252A,Research,Titanium,LEXINGTON TECHNOLOGY CENTER,Lexington,South Carolina,United States
44448D,Opportunity,Matrix,St Andrews International School Bangkok,"Phra Khanong, Bangkok",,Thailand
44691R,Math,Gold Rush,WOOSTER HIGH SCHOOL,Wooster,Ohio,United States
44777U,Technology,DiscoBotZ,DiscoBotZ Robotics,Redmond,Washington,United States
45009S,Science,Turbo,YOUNG WOMEN'S LEADERSHIP ACADEMY,El Paso,Texas,United States
45250J,Engineering,Renaissance Robotics,Renaissance Robotics,St. Thomas,Ontario,Canada
46131B,Arts,Barker Redbacks,Barker College,Hornsby,,Australia
46140A,Innovate,JAAGO Robotics,JAAGO Foundation,Dhaka,,Bangladesh
47800A,Spirit,AVIATION ROBOTICS,COMPASS PUBLIC CHARTER SCHOOL,Meridian,Idaho,United States
47969A,Design,Big Brains,PIKE ROAD HIGH SCHOOL,Pike Road,Alabama,United States
48321J,Research,Raudales Malpaso 13,CECyTE CHIAPAS,Tuxtla Gutiérrez,Chiapas,Mexico
48321K,Opportunity,Jesús María Garza 14,CECyTE CHIAPAS,Tuxtla Gutiérrez,Chiapas,Mexico
48425A,Math,ROBOSheen,ROBOSheen Robotics,Lexington,Massachusetts,United States
48778C,Technology,Twinkle Wheels,NAVAJO PREPARATORY SCHOOL,Farmington,New Mexico,United States
49081X,Science,ASMSA,"Arkansas School for the Mathematics, Sciences, and the Arts",Hot Springs,Arkansas,United States
49637A,Engineering,Mcfarland Robotics,Mcfarland High School,McFarland,California,United States
50075A,Arts,Oak Hill Robotics,OAK HILL HIGH SCHOOL,Converse,Indiana,United States
50421A,Innovate,Rogue 1,"Summit City Robotics, Inc.",Fort Wayne,Indiana,United States
50548X,Spirit,Heavy Metal,,Albuquerque,New Mexico,United States
50810C,Design,DON’T STEP!,CITY/PEMBROKE PINES CHARTER HIGH SCHOOL,Pembroke Pines,Florida,United States
50810E,Research,The Department of Microwave Repair,CITY/PEMBROKE PINES CHARTER HIGH SCHOOL,Pembroke Pines,Florida,United States
51581E,Opportunity,Syntax Error,The Dalles High School,The Dalles,Oregon,United States
51581S,Math,System Overload,The Dalles High School,The Dalles,Oregon,United States
51617A,Technology,The Hidden Gems,ROSE BUD HIGH SCHOOL,Rose Bud,Arkansas,United States
51777H,Science,Aviation Nerds,Private Team,Redmond,Washington,United States
52455A,Engineering,Hyper Resolution,Beaufort High,Beaufort,South Carolina,United States
53073N,Arts,The Jawas,Northwest High School,Opelousas,Louisiana,United States
53171A,Innovate,Cheese,Shoreland Lutheran High School,Kenosha,Wisconsin,United States
53171E,Spirit,The Aliens,Shoreland Lutheran High School,Kenosha,Wisconsin,United States
54001R,Design,西安铁一中国际部,Xi'an TieYi HS,Xi'an,Shaanxi,China
54001Z,Research,西安市铁一中学-Z队,Xi'an TieYi HS,Xi'an,Shaanxi,China
54189J,Opportunity,Ulink VEX A,领科教育上海校区,上海,Shanghai,China
54189K,Math,Ulink VEX B,领科教育上海校区,上海,Shanghai,China
55547A,Technology,UAE-ESE Tigers,emirates schools establishment,Dubai,,United Arab Emirates
55645X,Science,ARSENAL,ARSENAL ROBOTICS,Jericho,New York,United States
55655A,Engineering,UAE-ESE RAI1,Emirates Schools Establishment,Dubai,,United Arab Emirates
55692B,Arts,Alpha Entity,Young Engineers Uganda,kampala,,Uganda
55885K,Innovate,KRONOS,LA CUEVA HIGH,Albuqerque,New Mexico,United States
57249A,Spirit,Raptor Robotics - Goose,Ravenwood High School,Brentwood,Tennessee,United States
57249C,Design,Raptor Robotics - Maverick,Ravenwood High School,Brentwood,Tennessee,United States
57249D,Research,Raptor Robotics - The Professionals,Ravenwood High School,Brentwood,Tennessee,United States
57316A,Opportunity,Kids In Technology Team 2,Kids In Technology,Brikama,,Gambia
57711X,Math,Rocky,Alchemy Global STEM Institute,Morristown,Tennessee,United States
59001A,Technology,TFL Robotics,Tekirdağ Ebru Nayim Fen Lisesi,Tekirdağ,,Türkiye
60441A,Science,Error Error,LOCKPORT TOWNSHIP HIGH SCH EAST,Lockport,Illinois,United States
60441B,Engineering,Tragedy,LOCKPORT TOWNSHIP HIGH SCH EAST,Lockport,Illinois,United States
60470B,Arts,Reboot,Innovation Center,Longmont,Colorado,United States
60883W,Innovate,Double U,AKRON STEM HIGH SCHOOL,Akron,Ohio,United States
60883X,Spirit,Spoon!?,AKRON STEM HIGH SCHOOL,Akron,Ohio,United States
60924A,Design,CLUB SBL-SEED ESC. SEC. TECNICA 11 HS VRC,Dowell Schlumberger de México,Villahermosa,Tabasco,Mexico
61002G,Research,Pew Pew IQ,Ellensburg Robotics Club,Ellensburg,Washington,United States
61114S,Opportunity,GCGS-S,Guangzhou Huangpu Children's Palace,Guangzhou,Guangdong,China
61391W,Math,Valor Wildcats - MAKE GO,Valor Voyager Academy,Nashville,Tennessee,United States
62449A,Technology,MSMS Blue Waves,The MISSISSIPPI SCHOOL FOR MATH AND SCIENCE,Columbus,Mississippi,United States
62449B,Science,MSMS Blue Waves,The MISSISSIPPI SCHOOL FOR MATH AND SCIENCE,Columbus,Mississippi,United States
62629W,Engineering,Iron Patriots Mk. 1,WHEELING PARK HIGH SCHOOL,Wheeling,West Virginia,United States
62629Y,Arts,Iron Patriots Mk. 3,WHEELING PARK HIGH SCHOOL,Wheeling,West Virginia,United States
62629Z,Innovate,Iron Patriots Mk. 4,WHEELING PARK HIGH SCHOOL,Wheeling,West Virginia,United States
63031A,Spirit,R&D,Vallivue High School,CALDWELL,Idaho,United States
63031C,Design,Kappa Sigma Kappa,Vallivue High School,CALDWELL,Idaho,United States
63600C,Research,GRCHS July,GRAND RAPIDS CHRISTIAN HIGH SCHOOL,Grand Rapids,Michigan,United States
63857D,Opportunity,Out of Stock,Mashpee High School,Mashpee,Massachusetts,United States
63857E,Math,The Aviators,Mashpee High School,Mashpee,Massachusetts,United States
63936B,Technology,Lingnan B,"Lingnan Middle School, Macau",Macau,,Macau
64040A,Science,Lake George Warriors,LAKE GEORGE High School,Lake George,New York,United States
64040B,Engineering,Lake George Warriors,LAKE GEORGE High School,Lake George,New York,United States
64040C,Arts,Lake George Warriors,Lake George Junior-senior High School,LAKE GEORGE,New York,United States
64846A,Innovate,Cibola Robotics,CIBOLA HIGH,Albuquerque,New Mexico,United States
64846B,Spirit,Cibola Robotics,CIBOLA HIGH,Albuquerque,New Mexico,United States
66475C,Design,Ex Machina,Private,Redmond,Washington,United States
66655A,Research,Roundabout,Dr.player Robotic Lab . Caotun,Nantou County,,Taiwan
66659A,Opportunity,Vexington,Lexington High School,Lexington,Massachusetts,United States
66799A,Math,AST-onishing A,American School in Taichung,Taichung,,Taiwan
66799G,Technology,AST-onishing G,American School in Taichung,Taichung,,Taiwan
67002B,Science,2B-Determined,Northwest Career And Technical Academy,Las Vegas,Nevada,United States
67101C,Engineering,Centrifuge,Maize Career Academy,Maize,Kansas,United States
67101R,Arts,Helix,Maize Career Academy,Maize,Kansas,United States
67101X,Innovate,Unhinged,Maize Career Academy,Maize,Kansas,United States
69996W,Spirit,WE,ROBOTIC LAB,Taichung City,,Taiwan
69999A,Design,南江高中部一队,南京师范大学附属中学江宁分校,南京,Jiangsu,China
70216X,Research,GCGS-X,GCGS,Guangzhou,Guangdong,China
70291A,Opportunity,RUSTEZE,Commerce High School,Commerce,Texas,United States
70291D,Math,L Drago,Commerce High School,Commerce,Texas,United States
70291E,Technology,Reinvented Steel,Commerce High School,Commerce,Texas,United States
70325F,Science,FENIX,TELECENTROS TIGO,GUARAMBARE,,Paraguay
70407R,Engineering,Refraction,Meahagh Robotics,Buchanan,New York,United States
70700X,Arts,Kaibotics,Kaibotics Robotics,Panama city,,Panama
71414A,Innovate,ATOM13,PIERCE JR/SR HIGH SCHOOL,Pierce,Nebraska,United States
71811N,Spirit,Northview VEX,NORTHVIEW HIGH SCHOOL,Johns Creek,Georgia,United States
71811X,Design,XUE HUA PIAO PIAO（雪花飘飘）,NORTHVIEW HIGH SCHOOL,Johns Creek,Georgia,United States
71832P,Research,Riders,Academia Robotica Pueblo,Asuncion,,Paraguay
71909R,Opportunity,TESLA MODEL R,Baton Rouge Magnet High School,Baton Rouge,Louisiana,United States
71909X,Math,TESLA MODEL X,Baton Rouge Magnet High School,Baton Rouge,Louisiana,United States
71909Z,Technology,TESLA MODEL 3,Baton Rouge Magnet High School,Baton Rouge,Louisiana,United States
73335T,Science,INDEED,Dr.Player Robotics Lab,Taichung,,Taiwan
74100A,Engineering,V0!D,CONCORDIA JR/SR HIGH SCHOOL,Omaha,Nebraska,United States
74177M,Arts,mid,Pinecrest Academy Sloan Canyon,Henderson,Nevada,United States
74602A,Innovate,DCHS - Crimson,Daviess County High School,Owensboro,Kentucky,United States
74762A,Spirit,Lucky Ducky,Horizon High School,EL PASO,Texas,United States
74947E,Design,Fenix,Ecole Secondaire Massey-Vanier,Cowansville,Quebec,Canada
75503S,Research,Brandon,PLEASANT GROVE HIGH SCHOOL,Texarkana,Texas,United States
76209R,Opportunity,Raccoons,Saigon South International School,Ho Chi Minh City,,Vietnam
76290C,Math,Kuwait Team (MoE),Gulf University for Science and Technology,Mubarak Al Abdullah,,Kuwait
76427A,Technology,Bryson 1,BRYSON SCHOOL,Bryson,Texas,United States
76767R,Science,RoboGearheads,RoboGearheads,Cary,North Carolina,United States
76892A,Engineering,Unstable Unicorns,Sayre High School,Sayre,Oklahoma,United States
77000X,Arts,RoboKodas,RoboKodas Robotics Club,Jefferson,South Dakota,United States
77275A,Innovate,Axon,Spark Academy of Advanced Technologies,Manchester,New Hampshire,United States
77275B,Spirit,Bickering Badgers,Spark Academy of Advanced Technologies,Manchester,New Hampshire,United States
77353A,Design,EQUIPO 1,CECYTE MICHOACAN,MORELIA,Michoacán,Mexico
77787B,Research,World Controller,SVRA,Dublin,California,United States
77789A,Opportunity,F1,Futurum Academy,Singapore,,Singapore
78116A,Math,The NonRoutineMachines,Haberdashers' Boys' School,Hertfordshire,,United Kingdom
78345B,Technology,GRAVITY BOTS,Institución Educativa Juan Luis Londoño de la Cuesta,Mosquera - Cundinamarca,,Colombia
78792E,Science,Mount Academy Eagles E,The Mount Academy,Esopus,New York,United States
79163D,Engineering,Super Omega Team,North Clarion Co Jshs,Tionesta,Pennsylvania,United States
79163F,Arts,In a Pickle,North Clarion Co Jshs,Tionesta,Pennsylvania,United States
79267A,Innovate,Swamp Bots,River Bluff High School,Lexington,South Carolina,United States
80001B,Spirit,Double Play,Double Play,Piedmont,California,United States
80208K,Design,Ka-Chow,Rock Ridge High School,Dulles,Virginia,United States
80208X,Research,That's Dangerous,Rock Ridge High School,Dulles,Virginia,United States
80708Y,Opportunity,Exobits,Exobytes,Montclair,Virginia,United States
81011X,Math,SUPER BEAR,天津市赛思机器人俱乐部,Tianjin,Tianjin,China
81208X,Technology,LeRoi Robotics,LeRoi Robotics,Markham,Ontario,Canada
81218D,Science,Ddeokbokkis,Loveless Academic Magnet Prog High School,Montgomery,Alabama,United States
81218E,Engineering,I am proud to be a DingDong,Loveless Academic Magnet Prog High School,Montgomery,Alabama,United States
81218J,Arts,StoMos,Loveless Academic Magnet Prog High School,Montgomery,Alabama,United States
81218N,Innovate,47s,Loveless Academic Magnet Prog High School,Montgomery,Alabama,United States
81218S,Spirit,Goofuses,Loveless Academic Magnet Prog High School,Montgomery,Alabama,United States
81785B,Design,Kinsale Community School 2,KINSALE COMMUNITY SCHOOL,CO. CORK,,Ireland
81785G,Research,Kinsale Community School 1,KINSALE COMMUNITY SCHOOL,CO. CORK,,Ireland
81988D,Opportunity,Modern Crusaders,上海市虹口区青少年活动中心Shanghai Hongkou District Teenagers Activity Center,上海Shanghai,Shanghai,China
81988E,Math,Extropy,上海市虹口区青少年活动中心Shanghai Hongkou District Teenagers Activity Center,上海Shanghai,Shanghai,China
82718D,Technology,Unite-ED,THUNDER BASIN HIGH SCHOOL,Gillette,Wyoming,United States
82855S,Science,STL Supernova,St. Theresa of Lisieux C.H.S.,Richmond Hill,Ontario,Canada
82855T,Engineering,STL Talos,St. Theresa of Lisieux C.H.S.,Richmond Hill,Ontario,Canada
82855X,Arts,STL Breaking Bots,St. Theresa of Lisieux C.H.S.,Richmond Hill,Ontario,Canada
82912A,Innovate,Matrix,Community Team,Higginson,Arkansas,United States
82997A,Spirit,Horsepower,MONTINI CATHOLIC HIGH SCHOOL,Lombard,Illinois,United States
84260G,Design,Kobra,Cabot High School,CABOT,Arkansas,United States
84294A,Research,NDS Voyageurs,Notre Dame du Sault,Sault Ste. Marie,Ontario,Canada
84899A,Opportunity,Allen,Radley College,Abingdon,,United Kingdom
85142Z,Math,Geared UP,QCRF,Queen Creek,Arizona,United States
85843A,Technology,tECH,EAST CENTRAL HIGH SCHOOL,Moss Point,Mississippi,United States
87867C,Science,Galaxy,AIRobotics Academy LLC,Plano,Texas,United States
87867D,Engineering,Edison,AI & Robotics Academy LLC,Plano,Texas,United States
87867V,Arts,Velocity,AI & Robotics Academy LLC,Plano,Texas,United States
88880X,Innovate,Ex Machina,Rock Ridge HS,Broadlands,Virginia,United States
88909A,Spirit,88909A,88909,Palo Alto,California,United States
88909X,Design,VarX,88909,Palo Alto,California,United States
89040B,Research,Dread Pirates,MOAPA VALLEY HIGH SCHOOL,Overton,Nevada,United States
89227A,Opportunity,Panther Robotics,RIDGELAND HIGH SCHOOL,Rossville,Georgia,United States
90241B,Math,Warren Warbots B,WARREN HIGH,Downey,California,United States
90241T,Technology,Warren WarBots T,WARREN HIGH,Downey,California,United States
91142A,Science,Titans,BEAVER LOCAL HIGH SCHOOL,East Liverpool,Ohio,United States
91825A,Engineering,Ikeba,BARTLESVILLE HIGH SCHOOL,Bartlesville,Oklahoma,United States
93303M,Arts,Questionable Success,Monmouth Academy,Monmouth,Maine,United States
93644E,Innovate,RQ-Sharjah VRC1,Rubu Qarn,Sharjah,,United Arab Emirates
93644F,Spirit,RQ-Sharjah VRC2,Rubu Qarn,Sharjah,,United Arab Emirates
95071V,Design,Saratoga High,SARATOGA HIGH,Saratoga,California,United States
95071X,Research,Saratoga High,SARATOGA HIGH,Saratoga,California,United States
96138A,Opportunity,Flying Falcons,MONROE TOWNSHIP HIGH SCHOOL,Monroe Township,New Jersey,United States
96504C,Math,Exotek,Brentwood High School,Brentwood,Tennessee,United States
96504D,Technology,The Mad Scientists,Brentwood High School,Brentwood,Tennessee,United States
96671A,Science,Big Cheese,RED RIVER HIGH SCHOOL,Grand Forks,North Dakota,United States
96671B,Engineering,Complex Anthropomorphic Gorilla,RED RIVER HIGH SCHOOL,Grand Forks,North Dakota,United States
96671R,Arts,The Lost Rocks,RED RIVER HIGH SCHOOL,Grand Forks,North Dakota,United States
96789Z,Innovate,Mililani Mechs,Mililani Mechs Robotics,Mililani,Hawaii,United States
96969Y,Spirit,PAS1,Pacific American School,"Zhubei, Hsinchu County",,Taiwan
97101W,Design,Thing 2,AMERICAN HIGH,Fremont,California,United States
97140A,Research,Kennedy Gaels,Kennedy Catholic Preparatory School,Somers,New York,United States
97140B,Opportunity,Kennedy Gaels Too,Kennedy Catholic Preparatory School,Somers,New York,United States
97385A,Math,Team Ragnarok,Queen Creek Community Robotics,Queen Creek,Arizona,United States
97673R,Technology,CECYT No.11 CD.DEL CONOCI 2,CECYTE Chihuahua,Chihuahua,Chihuahua,Mexico
97673W,Science,CECYT No.11 CD. DEL CONOC 1,CECYTE Chihuahua Plantel 11,Chihuahua,Chihuahua,Mexico
97673Z,Engineering,CECYT No.11 CD. DEL CONOC,CECYTE Chihuahua,Chihuahua,Chihuahua,Mexico
97735X,Arts,Techno Crankers,L & B’s Garage Robotics,Harrisburg,North Carolina,United States
97834C,Innovate,OIA- Event Horizon,Owensboro Innovation Academy,Owensboro,Kentucky,United States
97934S,Spirit,RoboPanthers - Out of Stock,FRANKLIN ROAD ACADEMY,Nashville,Tennessee,United States
97934V,Design,RoboPanthers - Kirkland Signature,FRANKLIN ROAD ACADEMY,Nashville,Tennessee,United States
97959D,Research,Alpha Entity,BOWIE HIGH SCHOOL,Austin,Texas,United States
98052A,Opportunity,Orion,Future Labs,Redmond,Washington,United States
98377G,Math,Tigris ex Machina VII,TECHNICAL SENIOR HIGH,St. Cloud,Minnesota,United States
98548E,Technology,Explosive Engineers,Bear River High School,Garland,Utah,United States
98549W,Science,Burnsview Griffins,Burnsview Secondary,Delta,British Columbia,Canada
98709X,Engineering,Shirebots,DAYSPRING ACADEMY,Greenbrier,Tennessee,United States
98927B,Arts,Mountaineers,Ephrata Senior High School,Ephrata,Pennsylvania,United States
99040B,Innovate,Vestavia Team B,VESTAVIA HILLS HIGH SCHOOL,Vestavia Hills,Alabama,United States
99060K,Spirit,Westminster Knights,WESTMINSTER SCHOOL AT OAK MOUNTAIN,Birmingham,Alabama,United States
99067B,Design,Nano Jagwires,DESERT RIDGE HIGH,Mesa,Arizona,United States
99153A,Research,CECYT No. 14 VILLA ESPERANZA,CECYTE Chihuahua No. 14 Villa Esperanza,Ciudad Juárez,Chihuahua,Mexico
99197A,Opportunity,Poor Design Choices Causing Problems,Bowness High School,Calgary,Alberta,Canada
99319A,Math,Four Horsemen,PRINCETON HIGH SCHOOL,Princeton,Minnesota,United States
99484A,Technology,DOXA Robotics,Christian Academy in Japan,Tokyo,,Japan
99588X,Science,Checkmate,PIA Tech Leagues,Great Neck,New York,United States
99751F,Engineering,FrostByte,Colorado Early College Fort Collins,FORT COLLINS,Colorado,United States
99751Z,Arts,C--,Colorado Early College Fort Collins,FORT COLLINS,Colorado,United States
99871A,Innovate,CCCP CN,TEDU BEIJING TCTM,Beijing,Beijing,China
99904B,Spirit,Boogie Woogie,NEW PALESTINE HIGH SCHOOL,New Palestine,Indiana,United States
99904W,Design,Wooosh,NEW PALESTINE HIGH SCHOOL,New Palestine,Indiana,United States
99904X,Research,X3V,NEW PALESTINE HIGH SCHOOL,New Palestine,Indiana,United States
99921B,Opportunity,To Bee Determined,CHESAPEAKE HIGH SCHOOL,Chesapeake,West Virginia,United States
99966X,Math,Aquatic Lawnchairs,Garland HS,Garland,Texas,United States